cohort,n,V,C,C_minus_V,independent_oof_C_over_V,V_plus_C,full_burden_ratio,original_accepted_transported_C_over_V,difference,independent_oof_lower95,independent_oof_upper95
PL1516,22615,0.00865253396080813,0.012098618970554418,0.0034460850097462873,1.3982746586555357,0.020751152931362548,2.3982746586555357,2.2745292837544087,-0.876254625098873,1.3982746586555357,1.3982746586555357
T2024,5326,0.01011768375196276,0.014843653567766043,0.004725969815803283,1.4670999738340782,0.024961337319728803,2.467099973834078,2.280825126659825,-0.8137251528257468,1.4670999738340782,1.4670999738340782
WC2018,2938,0.007357686054678141,0.014002717530424374,0.006645031475746236,1.9031414804007858,0.021360403585102522,2.903141480400787,2.19061609266115,-0.2874746122603644,1.9031414804007858,1.9031414804007858
WC2022,4131,0.009712307024081575,0.014317122382543604,0.00460481535846203,1.4741216836581084,0.024029429406625176,2.474121683658108,2.2743361502743538,-0.8002144666162454,1.4741216836581084,1.4741216836581084
WSL2021,10565,0.009124244768971643,0.015848917728877636,0.0067246729599059925,1.7370114601456383,0.024973162497849283,2.737011460145639,2.195341564170078,-0.45833010402443985,1.7370114601456383,1.7370114601456383
