metric,outcome,model,coefficient,SE_cluster,CI95_low,CI95_high,p_value,n_keeper_matches,n_matches,covariance_type,cluster_variable
B5_COARSE_ORIGIN_FAILURE,YNEXTSHOT,MODEL1_COHORT_FE,0.001088176044139596,0.0004405945920776651,0.0002246265118842558,0.0019517255763949362,0.013519245259933099,1446,722,cluster,match_id
B5_COARSE_ORIGIN_FAILURE,YNEXTSHOT,MODEL2_TEAM_COHORT_FE,0.000606126661022512,0.00040048984152488403,-0.00017881900454041447,0.0013910723265854385,0.13016202681741662,1446,722,cluster,match_id
B6_FULL_XTGK,Y10_NET_XG,MODEL1_COHORT_FE,0.002872500171222792,0.0037837091261414143,-0.0045434334439899,0.010288433786435484,0.4477474370328799,1446,722,cluster,match_id
B6_FULL_XTGK,Y10_NET_XG,MODEL2_TEAM_COHORT_FE,-0.0027118166711328985,0.0031259891907754076,-0.008838642901114205,0.003415009558848408,0.3856644241328646,1446,722,cluster,match_id
B6_FULL_XTGK,Y30_NET_XG,MODEL1_COHORT_FE,0.00967700224543192,0.010313302217753789,-0.010536698663042571,0.029890703153906413,0.3480887267137025,1446,722,cluster,match_id
B6_FULL_XTGK,Y30_NET_XG,MODEL2_TEAM_COHORT_FE,-0.005233143022146543,0.008269029796016245,-0.021440143609426972,0.010973857565133884,0.5268246897912429,1446,722,cluster,match_id
B6_FULL_XTGK,YCYCLE_NET_XG,MODEL1_COHORT_FE,0.002021594748370703,0.0007271259649680031,0.0005964540448094838,0.003446735451931922,0.0054316424021877505,1446,722,cluster,match_id
B6_FULL_XTGK,YCYCLE_NET_XG,MODEL2_TEAM_COHORT_FE,0.0010389840491742324,0.0006667806866537742,-0.0002678820822540522,0.002345850180602517,0.11918357636563122,1446,722,cluster,match_id
B6_FULL_XTGK,YNEXTSHOT,MODEL1_COHORT_FE,0.0009856743132028393,0.00043861042133288517,0.00012601368414644578,0.0018453349422592328,0.024623028609126584,1446,722,cluster,match_id
B6_FULL_XTGK,YNEXTSHOT,MODEL2_TEAM_COHORT_FE,0.000557771486557625,0.00039748438001316485,-0.00022128358268541063,0.0013368265558006606,0.16054115473852415,1446,722,cluster,match_id
