metric,positive_spearman_cells,median_spearman,p10_spearman,minimum,maximum,sd_spearman,rank1,top2,top3
B0,20,0.5353411635571352,0.3262032085561497,0.2965622612681436,0.8411764705882352,0.1632695020641508,11,18,18
B1,20,0.5643690591855546,0.29757066462948817,0.2855614973262032,0.8352941176470589,0.15890430914961465,7,18,18
B2_XR,15,0.20953931984616486,-0.09921608849829748,-0.12941176470588237,0.7088235294117646,0.27754409211331776,0,0,8
B3_SUCCESS_ONLY,11,0.0426279602750191,-0.548921023359288,-0.6832035595105673,0.6735294117647058,0.42029577800906515,1,1,4
B4_FIXED_FAILURE,11,0.025974025974025976,-0.262202447163515,-0.4206896551724138,0.7588235294117647,0.3803935551704143,1,1,7
B5_COARSE_ORIGIN_FAILURE,10,0.00718105423987777,-0.2614460511679644,-0.4100111234705228,0.7588235294117647,0.38183744013619003,1,2,7
B6_FULL_XTGK,10,0.005500381970970207,-0.27630700778642936,-0.421579532814238,0.7588235294117647,0.38239776735476166,1,1,4
