cohort,outer_fold,training_match_hash,evaluation_match_hash,fit_match_hash,calibration_match_hash,xR_source_file_sha,V_source_file_sha,C_source_file_sha,rho_artifact_sha,surface_artifact_sha,success_artifact_sha,failure_artifact_sha,accepted_family,accepted_calibration
WC2018,0,7af67110bae8d9448b712808bd1cb10781c3e7f2f434103693a6acc9a322fbb3,8f871c1bc5e95e0d9a87b3370c123817bb5ae7faafaff33c84bd19bec937fd57,5b2b426e47448462ce565bc9cee97811bbec4d7bef5f03ca4a1b15d653244dff,e43a975b7ad9f4e51b273b5e9d4fc83b10db839b161d5d8687a28a094823aef9,bf46e4ccefb582e7b75f6453afa5718a5ec9196375c8f684584794f4bf1b8e9b,1ff3d19ea4e78edbee638a7cddea5f3d91f7016f89043ff55134f5d1af994ab7,5722b5dc33eb1b022d3d902ed90c068b32380ed41f82457fdd70fecafaad56f4,0150ab7262718cb4524ced6ecaaa2ae8619ee6c21a7f155fb6fe42a732fb0942,8040c61e2be2569d629263b1a32c8c8dc5756abcdc69cf997d433408daed6ffb,2471bafd34ce12750ae509d41581ebf4e1da13497c7292ad9718e8fba3ec1fa8,25f0449db489a1ccb4d819e31c1a265dc7ee99140a7e63ab2662d573c35ff474,logistic,isotonic
WC2018,1,1b5b2e47b087e99b4447e49a73c895c4f81b80f2bec2cac33fecbf94db712695,c58eada67b3b7906f01b0b723492a15306c79b31dfab876f097868982d02d28b,291c511f10e650a52afdcc2c4d80b34660b3e8c7221fe62f9b0a52ee9ae757ae,f0ac0255b290bb6680df410d74f79cd1648d1e64f639c2b4e57619ae1e75ace1,bf46e4ccefb582e7b75f6453afa5718a5ec9196375c8f684584794f4bf1b8e9b,1ff3d19ea4e78edbee638a7cddea5f3d91f7016f89043ff55134f5d1af994ab7,5722b5dc33eb1b022d3d902ed90c068b32380ed41f82457fdd70fecafaad56f4,ad53154e46621a4475ac8bbad7d14453cce84c037a8928e23fe4eaa9f1cc4052,32f1d256c7a1a0b6d6ce48be1b9dd06dd163d61a42920920eea207d09eea7caf,968d10bad326333708a6267edb0e6b8ec5915b758f20989e00acd5217e1a4a02,29b6537adc6cab9254c618413eb6d7745ba76e6c2285a997d2ecd0d71fd0eebd,logistic,isotonic
WC2018,2,cb2e9d2457c8d081c191fa672ac1024d0b007a3e6779e405fc8c47f413ef3093,521157feab6f7d716fa5afbe6544623e5a3c1f146cc81259fe153e01c3eba3c3,6eec900f04f49103e89663e2f46ab03e26a0cc40eb40eebe59527d667f297a0f,e2fca83c516a8c43438ddf136f604632eb12a94a34333a2e0bb2405aa0c34d7b,bf46e4ccefb582e7b75f6453afa5718a5ec9196375c8f684584794f4bf1b8e9b,1ff3d19ea4e78edbee638a7cddea5f3d91f7016f89043ff55134f5d1af994ab7,5722b5dc33eb1b022d3d902ed90c068b32380ed41f82457fdd70fecafaad56f4,d0226283c56ebe6d1944154b8046d903f9e629466bf02c14d0ecc984d23763b0,90d4cb67a95d564fe454e714889c005eea9a0d0372082e7a50501a750ffd4a7e,c8c38f64c9837d26f78131d6c68963360be9ba50bc80f76cc01d6004c5daf6f1,23b7b9659ee9ce97189d0b16c1d18acba9d09510be51a08f61c0d54eb316e966,logistic,isotonic
WC2018,3,5ecaf8e620a42fd8587a3f34f730b6f1a699745b51a15a1205d11ff71be8ce11,15220fb0a16cff8fa8d1d328d78e83590bfc44b888a226804298a36cb6c34113,41df2dda4601c6a0855effa028b8246c122d54aeac8247ca67fbc33cf277788f,c34bdedece29e1b2ebdaa6f951dee678ddf2f4957e330cc382234637775d568a,bf46e4ccefb582e7b75f6453afa5718a5ec9196375c8f684584794f4bf1b8e9b,1ff3d19ea4e78edbee638a7cddea5f3d91f7016f89043ff55134f5d1af994ab7,5722b5dc33eb1b022d3d902ed90c068b32380ed41f82457fdd70fecafaad56f4,568ce23abce1a82e62677c23a14e01bd0c559441e283b2da925d555b6bf8f7db,dfbe21908410e9db6b3981c6e3ac23074b29320e23dfe151f9af79bc12acc34a,1be2f0796e9ee246ec04c4c787b6d5086cefab850092740b8fb44c372410e055,a9797b3ba813937b415b4b5d237ab090e28c23498408603b9d736fc0ef4dbc9f,logistic,isotonic
WC2018,4,5efb441e97196f189a138361b61ae7e670c27a1ab28bbc61beb6116a44a6a277,860ee09c614c18fcb30c92e5be1f23ad54c0be6bebf17a1b153cffdd6f21226b,08c5be1a46cf10fc9785c64c88f752e8742b0cccfb42c114fd42fe762018935a,ffba01b7bb0c8bcb34c8c93f0f453f82720b97a3a59ebc83959848d602e8a69b,bf46e4ccefb582e7b75f6453afa5718a5ec9196375c8f684584794f4bf1b8e9b,1ff3d19ea4e78edbee638a7cddea5f3d91f7016f89043ff55134f5d1af994ab7,5722b5dc33eb1b022d3d902ed90c068b32380ed41f82457fdd70fecafaad56f4,37bfed04f2fa3fc7d0b8990f72dd2925f5fc40a9b2f699696c7f964bf737de26,ba9c9199a742e732eb6738c6d526e75fe087ff328aa6db1b27b71c473b8def2e,bc42f8570ad77e9de943f918365ed3765bb586dab274c5d9e7030c2d2f489a3d,3d70010e067dd77ab21d32f918d3aecd4c0b724506fea19fba88d3f37a27925f,logistic,isotonic
WC2022,0,75b6e1ba8cfd63979232ef3e10d056ac37ded88dd53cb45de5a4808328ba375b,1d87d86cc13629cf4e8a3e5d9179be94e952733438c4f4b8e94c4f38671623b6,4d1940dc877b61900feceb0d27ca4b2db1601d07ad76cdc2d1a0f2fa895c6d07,6fcfc5d8601cf76f8599e051d67e534d04bb6c885d4ed82f2d5eac1220a5dfd3,bf46e4ccefb582e7b75f6453afa5718a5ec9196375c8f684584794f4bf1b8e9b,1ff3d19ea4e78edbee638a7cddea5f3d91f7016f89043ff55134f5d1af994ab7,5722b5dc33eb1b022d3d902ed90c068b32380ed41f82457fdd70fecafaad56f4,2c87c9fac1f720dcc28dadbc74d5570fa0e49896ef130278f4e108c328811873,86c8c1a37faa060653059b95326e2039b1238309c4ce3a35df9c627e59eab640,c440a19d0b73fd86231b9687a760f291ff78b3c63fb57b87a70d69bcdfb7e0db,73002adb2d1c35777e94ddfeb9d9223ccaa138c4ee348d4bbf78bd76c75e67c8,logistic,isotonic
WC2022,1,0ae32fb4c0b58ea7021df1e9b5d7a4fe81662c1eb426f5b07d725c1245d38847,b780d00c6fe913d5cf681f3122251bd3305c475f869bc5c2aa3d2daf5bb2295f,2bc2fdbb7868926dc9073d270133fee8b73c6486b524755add56bf83a673f1e3,a0bc1886dab1058afbd0a3b2070df6c16529938cf9e7b31111ff2a37ee0370cc,bf46e4ccefb582e7b75f6453afa5718a5ec9196375c8f684584794f4bf1b8e9b,1ff3d19ea4e78edbee638a7cddea5f3d91f7016f89043ff55134f5d1af994ab7,5722b5dc33eb1b022d3d902ed90c068b32380ed41f82457fdd70fecafaad56f4,aea14aa10204140a8f2887b35c4c041d9e7688649bce6a7f34e85ff3e9808bf3,711146edf5d4df03a8d5228e41f91cc00b065a831fd9a0f05fc41eb4d73703db,f029dff4c8d8f738cce2e29950ae00bb53ab1fa8da468e7376cbc22952d3c1ae,8b5accb479c23fa231faa2fb3832ad8f407d756646f543afba8230c43aefe297,logistic,isotonic
WC2022,2,b75ba1fe30ca90d7bf05a18beed410dacff3ff4668391a438544d9a37ff1d859,c21d17016e147901bfd072917363e1fc26ec1f48eb4b2ef6bf2d6fb5cf7834d6,94921f0431085293e793b5ca77f82874e64d6beb9062a59e4845a9f9cb27518b,ab58367812af4f3130c34789590f0015a1097f03dbf889628ae59e69fe695b8b,bf46e4ccefb582e7b75f6453afa5718a5ec9196375c8f684584794f4bf1b8e9b,1ff3d19ea4e78edbee638a7cddea5f3d91f7016f89043ff55134f5d1af994ab7,5722b5dc33eb1b022d3d902ed90c068b32380ed41f82457fdd70fecafaad56f4,61c1fa6cef3a4aba7b9e78f704bc739baaeb51d40f1a861830c6d1ef92f25c22,f5880e8a07f1d2b44418140c8f1646b9509ab625fe679ebb676d2e1026cff588,83e475f21a307ffef3e6c1e3a73607e50ba1330d14a99fd9069476883c393dcb,8ce49a60350fe0704437e4bd4185694ef188b28ffd75831137bd127f1e602625,logistic,isotonic
WC2022,3,a05f14b97a9bbd3997d8081560f91b46fef832143dcc73042a5d4701296a12d5,c90a4239a8ff538c4c029645648ac904301f1ad16ac275f7291bceb533fd5d43,fc3055c58ba1cd498eee54f1f513555312729597e54c020e10fe0e7024f7c16b,3da54f254fff94b9f678c2d707595a894a4d7cf13f91d50df33bb1e2b2ca585e,bf46e4ccefb582e7b75f6453afa5718a5ec9196375c8f684584794f4bf1b8e9b,1ff3d19ea4e78edbee638a7cddea5f3d91f7016f89043ff55134f5d1af994ab7,5722b5dc33eb1b022d3d902ed90c068b32380ed41f82457fdd70fecafaad56f4,85e437fdeb096362115ff14ad88b5a6c67fa0556aec3d1770ce51176975fff03,a26834ab31b0bc325f39f9c3aa6e3486879ad899c51a9432e47dc5e764e0b27f,089590c174f88ce526bf7fa0f7f21750bdba798599ab0af1b78343d15b85ff92,f677e6914a900546464a0c98a05a851f11a1a251edb23d10208fc322b58d7ab0,logistic,isotonic
WC2022,4,d46d3f995b79218f894b5acc681babc27fbea84c988d965bb557a6a7e5520785,f9ce07cfd8472a69704a78c94e44ec3d9f41bd2a4ec16715261ca0d8d06b50f9,5e1af8bb50372083fdb9d6f2055b8b317bb8aa3e13eb957644f60ae6fe78db17,960770a76670a0a467e7c23c9316548f2640cef48e491877e9310a9955cc55cc,bf46e4ccefb582e7b75f6453afa5718a5ec9196375c8f684584794f4bf1b8e9b,1ff3d19ea4e78edbee638a7cddea5f3d91f7016f89043ff55134f5d1af994ab7,5722b5dc33eb1b022d3d902ed90c068b32380ed41f82457fdd70fecafaad56f4,c736d5b75bbeff501b9c8ff859dcf75b94969c7dd120e3766ecac23c6e86fced,e779c828c29b27939204800573cad06c9c7fc52f8bd7960cb61a8ffbff9fe389,b1b3fa6899f71ae36c746229f178988fe7f092b6f4ec595553f468a075fdb13a,b9e83c6479a0fe7e644c92fbffe47cd7253570881a1979ac88403b7669ff5f5d,logistic,isotonic
WSL2021,0,2c70439496204b4a83ef8f3340f2b7bf6b3a2f58773ba262a1779b3c7b879b58,f59efee084222c39def7aec50737ff067604372eeecfb6b99600136b926ba742,00c547e543131439f26fc0b859f5ae08b7aa2b4c4c98230ab2d7a03817da0577,754002599a7cec037aabc10f6c1ccb04c2d1ab52426bbae3e9b6147749af2c27,bf46e4ccefb582e7b75f6453afa5718a5ec9196375c8f684584794f4bf1b8e9b,1ff3d19ea4e78edbee638a7cddea5f3d91f7016f89043ff55134f5d1af994ab7,5722b5dc33eb1b022d3d902ed90c068b32380ed41f82457fdd70fecafaad56f4,bba737f91de8a0e9631ea2a2695aa0af96f388c6faf0dc2239d46ed81c264907,1bf7708b6c5db4d421cdae4edd87a32f57c19d0aa8ea32dbb2773e42d5805860,75724b608a646dd484c5cb0e98c2137549938c8b11bdef0b612d120c2700576f,239171f5269ba2c18329ad17bc39818b36cebcf96068a6e8c0c4f379ce9667db,logistic,isotonic
WSL2021,1,51cea19e030db631d1c1116853f5f804f8c4d244da4a9efb5ade9dcdc9c3c34a,15d364c27562c6b1541a4d7f53e3c10e5821468c602f41237bc432a9096452eb,84139aa31c3d94c1748fd43eedac030c8768b535396a70814240992975c3cab2,1eaf19a1009fa2c37a903575b382786399a2d4351932dd446062e220133e7fc0,bf46e4ccefb582e7b75f6453afa5718a5ec9196375c8f684584794f4bf1b8e9b,1ff3d19ea4e78edbee638a7cddea5f3d91f7016f89043ff55134f5d1af994ab7,5722b5dc33eb1b022d3d902ed90c068b32380ed41f82457fdd70fecafaad56f4,d64ff8d4ccfd7758e6ddcbadacf9428636c309ceda0d7b78f7ad9268641b559e,05ae51c488d0789b92053dddee5b669bd12c9fa419873799445659d9be6ad6b2,2481930980665e9a0ddb2abebd23eff21f8dda9de74765dd10977853df2931b1,8f2f7edfcf89e83337f056f65c632860e263e1c1a9516a15e4cb9622a8474fc6,logistic,isotonic
WSL2021,2,862b2c04b8b05b73301f7c14c2c56129419416cc7fe6934e6f30942626fa6a78,11c6d9a0b3614f7a26fbf05344f11b853bb62402fef163052a630786bf1b2525,a550b4306a1343dbac81a2f20c32ab38bff1b856b507863da76a304bf13d56d5,f1f10db49ecad6e64038570e504c0b2adfa80f63f3c745e99c253f81c0097904,bf46e4ccefb582e7b75f6453afa5718a5ec9196375c8f684584794f4bf1b8e9b,1ff3d19ea4e78edbee638a7cddea5f3d91f7016f89043ff55134f5d1af994ab7,5722b5dc33eb1b022d3d902ed90c068b32380ed41f82457fdd70fecafaad56f4,b1a3d0d1666a4d8f6c84fe1e8686e00e55dc0cd0d2e605a8c6a287f4c869b098,f9cfddb1c2ec16dc1fb85b2dad877a3c0a8731a4c1b71ed3c31ca2ea2a846be5,75a517147e57de1375295902776120c2743d424388ef5a14887132973f55c7c5,a7e8723c4ed06963fd77db726e020345a1a81a0895e729da61f42b3c35305b4e,logistic,isotonic
WSL2021,3,9797122102e01130d2f7bdb09bab4756f055b835586c65f35e9e55bc2849003b,f776ef19f322611fdfa2124d6354a5b0367498061efb7d1033f36872b6252700,87f15a52d4b2a17904e99b95934417fd384523bc2e12592e06c91ec39fb4dd43,6bd6275d05d719d2412fd9a1b4858461daefc1f2893d1faf67b97f3149cdb426,bf46e4ccefb582e7b75f6453afa5718a5ec9196375c8f684584794f4bf1b8e9b,1ff3d19ea4e78edbee638a7cddea5f3d91f7016f89043ff55134f5d1af994ab7,5722b5dc33eb1b022d3d902ed90c068b32380ed41f82457fdd70fecafaad56f4,d25b144fe05c685935ff1a24a9590bdeaeab2bdc15f24f5228c5b88233173158,756add83caaa271c1aa69e7b55a1183bcdc138b3e478be1d376646d89972f1a4,a8710a90cd0d58cf97fc666ceb9761c0e29e5b680492181bb1914d4bd5e31b62,e63c1738fe64b37ba6175745a087193707950fe3f918b7d25d73896148ef6a4a,logistic,isotonic
WSL2021,4,f17151e136c96d55023eebd98e0fbcb97ffbfe8ca19f154390bba141adb164bf,3f8f50cda527c70025f503152b51cc0de38700f46b2a0e82edcd37e77b2d2d82,9e43325aee3e5eb5aaa1adfba05e0afde29252e7f314126c9399c3a1798ecf26,b17d7b1a494c073f73c8bd71d78db59676e1633ce733b505ac131456b0bc545e,bf46e4ccefb582e7b75f6453afa5718a5ec9196375c8f684584794f4bf1b8e9b,1ff3d19ea4e78edbee638a7cddea5f3d91f7016f89043ff55134f5d1af994ab7,5722b5dc33eb1b022d3d902ed90c068b32380ed41f82457fdd70fecafaad56f4,e566192fafe8bbf5161c1faae2d13f93a27c2c4a6f07114ddbd440b3754777a6,798948a6dd5af0b9eea2e91607526e4b17822ebe90645d1c7fc4ae1ef99e333d,dfc44b467fe71945f168ed98e814d0ac6bb581429958b0bdb3f46602376f1816,3cb093c2e868c2bdba154a70203173f4ebf10554b20e997564ce104bf9f36e09,logistic,isotonic
