metric,positive_cells,median_spearman,minimum,maximum,cells
B2_XR,17,0.4545454545454545,-0.4545454545454545,0.9515151515151514,20
B3_SUCCESS_ONLY,11,0.0666666666666666,-0.8303030303030302,0.7212121212121211,20
B4_FIXED_FAILURE,14,0.15757575757575748,-0.6363636363636362,0.8787878787878788,20
B5_COARSE_ORIGIN_FAILURE,15,0.1939393939393939,-0.6121212121212121,0.9151515151515152,20
B6_FULL_XTGK,16,0.27878787878787875,-0.6,0.8666666666666665,20
