cohort,keeper,team,goal_kick,pressure,choice_bin,choice_length_source,choice_observable_n,all_action_n,coverage,frequency,retention,xR,value
PL1516,Alex McCarthy,Crystal Palace,True,FREE,SHORT,provider_target_geometry,45,70,0.6428571428571429,0.06666666666666667,1.0,0.5950648408105579,-0.004503971373875222
PL1516,Alex McCarthy,Crystal Palace,True,FREE,VERY_LONG,provider_target_geometry,45,70,0.6428571428571429,0.4666666666666667,0.8095238095238095,0.5799068690964267,-0.004278872888887703
PL1516,Artur Boruc,AFC Bournemouth,False,FREE,LONG,provider_target_geometry,536,615,0.8715447154471545,0.27425373134328357,0.5850340136054422,0.6856896994293028,-0.004477855469476487
PL1516,Artur Boruc,AFC Bournemouth,False,FREE,MEDIUM,provider_target_geometry,536,615,0.8715447154471545,0.21082089552238806,0.9646017699115044,0.7996780552980725,-0.003169049543451393
PL1516,Artur Boruc,AFC Bournemouth,False,FREE,SHORT,provider_target_geometry,536,615,0.8715447154471545,0.42350746268656714,0.986784140969163,0.799489763735152,-0.0029078570849318543
PL1516,Artur Boruc,AFC Bournemouth,False,FREE,VERY_LONG,provider_target_geometry,536,615,0.8715447154471545,0.0914179104477612,0.42857142857142855,0.6123455201581761,-0.005189583260248431
PL1516,Artur Boruc,AFC Bournemouth,False,PRESSURED,LONG,provider_target_geometry,24,28,0.8571428571428571,0.7916666666666666,0.42105263157894735,0.510568514279221,-0.0074119492290592335
PL1516,Artur Boruc,AFC Bournemouth,False,PRESSURED,MEDIUM,provider_target_geometry,24,28,0.8571428571428571,0.08333333333333333,1.0,0.45990162532078704,-0.009527210397006766
PL1516,Artur Boruc,AFC Bournemouth,False,PRESSURED,SHORT,provider_target_geometry,24,28,0.8571428571428571,0.125,1.0,0.49567200917286763,-0.005737461718019813
PL1516,Artur Boruc,AFC Bournemouth,True,FREE,LONG,provider_target_geometry,212,264,0.803030303030303,0.4528301886792453,0.6666666666666666,0.6057566192275182,-0.004057207132189033
PL1516,Artur Boruc,AFC Bournemouth,True,FREE,MEDIUM,provider_target_geometry,212,264,0.803030303030303,0.1792452830188679,0.9473684210526315,0.6319673618848487,-0.0034511023471526098
PL1516,Artur Boruc,AFC Bournemouth,True,FREE,SHORT,provider_target_geometry,212,264,0.803030303030303,0.25,1.0,0.6311609804097931,-0.003483104783833322
PL1516,Artur Boruc,AFC Bournemouth,True,FREE,VERY_LONG,provider_target_geometry,212,264,0.803030303030303,0.1179245283018868,0.48,0.584670383247418,-0.004417044787112207
PL1516,Asmir Begović,Chelsea,False,FREE,LONG,provider_target_geometry,242,278,0.8705035971223022,0.30578512396694213,0.5135135135135135,0.6306027033207917,-0.005507875432475384
PL1516,Asmir Begović,Chelsea,False,FREE,MEDIUM,provider_target_geometry,242,278,0.8705035971223022,0.15702479338842976,0.8947368421052632,0.8058718227337776,-0.003197864449674976
PL1516,Asmir Begović,Chelsea,False,FREE,SHORT,provider_target_geometry,242,278,0.8705035971223022,0.4132231404958678,1.0,0.7977160332156812,-0.0031002930402732015
PL1516,Asmir Begović,Chelsea,False,FREE,VERY_LONG,provider_target_geometry,242,278,0.8705035971223022,0.12396694214876033,0.3,0.602755039969115,-0.005846741594285544
PL1516,Asmir Begović,Chelsea,False,PRESSURED,LONG,provider_target_geometry,16,24,0.6666666666666666,0.75,0.3333333333333333,0.5029142633929887,-0.008987515720314771
PL1516,Asmir Begović,Chelsea,False,PRESSURED,MEDIUM,provider_target_geometry,16,24,0.6666666666666666,0.125,0.5,0.5237369890835237,-0.008664745275187527
PL1516,Asmir Begović,Chelsea,False,PRESSURED,SHORT,provider_target_geometry,16,24,0.6666666666666666,0.0625,0.0,0.5346534653465346,-0.004421382992462114
PL1516,Asmir Begović,Chelsea,False,PRESSURED,VERY_LONG,provider_target_geometry,16,24,0.6666666666666666,0.0625,0.0,0.5060240963855422,-0.01082315709910095
PL1516,Asmir Begović,Chelsea,True,FREE,LONG,provider_target_geometry,82,106,0.7735849056603774,0.25609756097560976,0.5714285714285714,0.5853128072129486,-0.004509764254921496
PL1516,Asmir Begović,Chelsea,True,FREE,MEDIUM,provider_target_geometry,82,106,0.7735849056603774,0.17073170731707318,1.0,0.6039520543217358,-0.0037368065486546092
PL1516,Asmir Begović,Chelsea,True,FREE,SHORT,provider_target_geometry,82,106,0.7735849056603774,0.15853658536585366,1.0,0.6110359626885383,-0.0028958993696338664
PL1516,Asmir Begović,Chelsea,True,FREE,VERY_LONG,provider_target_geometry,82,106,0.7735849056603774,0.4146341463414634,0.4117647058823529,0.6005073925726979,-0.0037008301748843557
PL1516,Ben Foster,West Bromwich Albion,False,FREE,LONG,provider_target_geometry,223,253,0.8814229249011858,0.5067264573991032,0.6902654867256637,0.6781483169902893,-0.004949980318666208
PL1516,Ben Foster,West Bromwich Albion,False,FREE,MEDIUM,provider_target_geometry,223,253,0.8814229249011858,0.08968609865470852,0.9,0.8652845827825804,-0.0016901886590847375
PL1516,Ben Foster,West Bromwich Albion,False,FREE,SHORT,provider_target_geometry,223,253,0.8814229249011858,0.20179372197309417,1.0,0.8440332327765957,-0.0022524578140044353
PL1516,Ben Foster,West Bromwich Albion,False,FREE,VERY_LONG,provider_target_geometry,223,253,0.8814229249011858,0.20179372197309417,0.6888888888888889,0.630807456963545,-0.005786061332562912
PL1516,Ben Foster,West Bromwich Albion,False,PRESSURED,LONG,provider_target_geometry,10,12,0.8333333333333334,0.9,0.8888888888888888,0.4991749337953467,-0.007444808936581632
