cohort,keeper,team,goal_kick,pressure_state,realized_bin,n,retention,xR,value
PL1516,Asmir Begović,Chelsea,False,PRESSURED,LONG,18,0.2222222222222222,0.4961534074524926,-0.008299369511743383
PL1516,Asmir Begović,Chelsea,False,PRESSURED,MEDIUM,3,0.3333333333333333,0.5352045043502561,-0.007409838822662548
PL1516,Asmir Begović,Chelsea,False,PRESSURED,SHORT,2,0.0,0.47202471925044853,-0.00788110626489971
PL1516,Asmir Begović,Chelsea,False,PRESSURED,VERY_LONG,1,0.0,0.5060240963855422,-0.01082315709910095
PL1516,Asmir Begović,Chelsea,True,FREE,LONG,26,0.5,0.5835209202974322,-0.004565856221509671
PL1516,Asmir Begović,Chelsea,True,FREE,MEDIUM,14,1.0,0.6039520543217358,-0.0037368065486546097
PL1516,Asmir Begović,Chelsea,True,FREE,SHORT,13,1.0,0.6110359626885383,-0.0028958993696338673
PL1516,Asmir Begović,Chelsea,True,FREE,VERY_LONG,53,0.2830188679245283,0.601278071759038,-0.0036642258239477136
PL1516,Ben Foster,West Bromwich Albion,False,FREE,LONG,124,0.6209677419354839,0.671455874125195,-0.005101234838306666
PL1516,Ben Foster,West Bromwich Albion,False,FREE,MEDIUM,19,0.9473684210526315,0.8709246795773314,-0.0015497014592512298
PL1516,Ben Foster,West Bromwich Albion,False,FREE,SHORT,45,1.0,0.8440332327765958,-0.0022524578140044357
PL1516,Ben Foster,West Bromwich Albion,False,FREE,VERY_LONG,65,0.5846153846153846,0.636584743510157,-0.0056616158438458205
PL1516,Ben Foster,West Bromwich Albion,False,PRESSURED,LONG,11,0.7272727272727273,0.5016435472749258,-0.007320855629284076
PL1516,Ben Foster,West Bromwich Albion,False,PRESSURED,VERY_LONG,1,0.0,0.5269461077844312,-0.006647166804136965
PL1516,Ben Foster,West Bromwich Albion,True,FREE,LONG,61,0.6557377049180327,0.6244396635525679,-0.0035109121038039005
PL1516,Ben Foster,West Bromwich Albion,True,FREE,MEDIUM,3,0.6666666666666666,0.5924099836737756,-0.004455656232933308
PL1516,Ben Foster,West Bromwich Albion,True,FREE,VERY_LONG,77,0.5714285714285714,0.6191805745224072,-0.0036284349885817315
PL1516,Bradley Guzan,Aston Villa,False,FREE,LONG,266,0.5413533834586466,0.6865840966826393,-0.004720577017091487
PL1516,Bradley Guzan,Aston Villa,False,FREE,MEDIUM,85,0.8705882352941177,0.8171959706294452,-0.0022794127103825724
PL1516,Bradley Guzan,Aston Villa,False,FREE,SHORT,133,0.9924812030075187,0.833886134966286,-0.002584195945073013
PL1516,Bradley Guzan,Aston Villa,False,FREE,VERY_LONG,77,0.35064935064935066,0.623770700173486,-0.005396233558886044
PL1516,Bradley Guzan,Aston Villa,False,PRESSURED,LONG,34,0.4117647058823529,0.5249446255582219,-0.009287707614590527
PL1516,Bradley Guzan,Aston Villa,False,PRESSURED,MEDIUM,9,0.7777777777777778,0.5124935282836249,-0.007956861240805652
PL1516,Bradley Guzan,Aston Villa,False,PRESSURED,SHORT,5,0.8,0.5319494995755645,-0.0037737791239209626
PL1516,Bradley Guzan,Aston Villa,False,PRESSURED,VERY_LONG,1,0.0,0.5128205128205128,-0.006473815801619713
PL1516,Bradley Guzan,Aston Villa,True,FREE,LONG,157,0.6050955414012739,0.6430242012620903,-0.0034669583234398713
PL1516,Bradley Guzan,Aston Villa,True,FREE,MEDIUM,10,0.9,0.6484307371393833,-0.00310387091529537
PL1516,Bradley Guzan,Aston Villa,True,FREE,SHORT,17,0.8235294117647058,0.6150719308964979,-0.003561567120501936
PL1516,Bradley Guzan,Aston Villa,True,FREE,VERY_LONG,40,0.475,0.6403523126530459,-0.003395152021739589
PL1516,Carl Jenkinson,West Ham United,False,FREE,VERY_LONG,1,1.0,0.591324200913242,-0.0013581098557674531
PL1516,Carl Jenkinson,West Ham United,True,FREE,LONG,1,1.0,0.591324200913242,-0.005003882106131557
PL1516,Costel Fane Pantilimon,Sunderland,False,FREE,LONG,186,0.42473118279569894,0.6481431037909048,-0.00512583289180491
PL1516,Costel Fane Pantilimon,Sunderland,False,FREE,MEDIUM,47,0.8723404255319149,0.7519995950155558,-0.003925866812616083
PL1516,Costel Fane Pantilimon,Sunderland,False,FREE,SHORT,89,0.9887640449438202,0.8112480061578138,-0.002702363257446312
PL1516,Costel Fane Pantilimon,Sunderland,False,FREE,VERY_LONG,60,0.38333333333333336,0.5890742260029299,-0.0060457406632360555
PL1516,Costel Fane Pantilimon,Sunderland,False,PRESSURED,LONG,15,0.26666666666666666,0.5102013825776455,-0.007206972044004876
PL1516,Costel Fane Pantilimon,Sunderland,False,PRESSURED,MEDIUM,7,0.42857142857142855,0.5299786810039586,-0.006576748961949537
PL1516,Costel Fane Pantilimon,Sunderland,False,PRESSURED,SHORT,4,0.5,0.5024078999982614,-0.006349015653840189
PL1516,Costel Fane Pantilimon,Sunderland,False,PRESSURED,VERY_LONG,1,0.0,0.5194805194805194,-0.0029021391372120427
PL1516,Costel Fane Pantilimon,Sunderland,True,FREE,LONG,105,0.5238095238095238,0.605833807529509,-0.003604695913242525
PL1516,Costel Fane Pantilimon,Sunderland,True,FREE,MEDIUM,8,1.0,0.6113715950200651,-0.003927642570346505
PL1516,Costel Fane Pantilimon,Sunderland,True,FREE,SHORT,11,1.0,0.6255025882751973,-0.003618953380848074
PL1516,Costel Fane Pantilimon,Sunderland,True,FREE,VERY_LONG,26,0.4230769230769231,0.6107544365888883,-0.0036464978443511865
PL1516,Danny Ward,Liverpool,False,FREE,LONG,16,0.375,0.6369411307992039,-0.005647464968447505
PL1516,Danny Ward,Liverpool,False,FREE,MEDIUM,5,0.8,0.7974512702233769,-0.003500209048520384
PL1516,Danny Ward,Liverpool,False,FREE,SHORT,20,1.0,0.7946338715969745,-0.002697233180308585
PL1516,Danny Ward,Liverpool,False,FREE,VERY_LONG,5,0.2,0.5278762917267178,-0.006637944141923336
PL1516,Danny Ward,Liverpool,True,FREE,LONG,2,0.0,0.5936617331374985,-0.004440165710592916
PL1516,Danny Ward,Liverpool,True,FREE,MEDIUM,2,1.0,0.6447048082775411,-0.0014639566926989813
PL1516,Danny Ward,Liverpool,True,FREE,SHORT,2,1.0,0.6603773584905659,-0.001076840081607285
PL1516,Danny Ward,Liverpool,True,FREE,VERY_LONG,5,0.2,0.6507689525997193,-0.002404564799675434
PL1516,Darren Randolph,West Ham United,False,FREE,LONG,49,0.673469387755102,0.6313336177150115,-0.006026741697721377
PL1516,Darren Randolph,West Ham United,False,FREE,MEDIUM,14,0.7857142857142857,0.8485596304915406,-0.003034546729055364
PL1516,Darren Randolph,West Ham United,False,FREE,SHORT,31,0.967741935483871,0.8208163894919155,-0.002619417139483816
PL1516,Darren Randolph,West Ham United,False,FREE,VERY_LONG,41,0.4878048780487805,0.6127654329604643,-0.006068919109265836
PL1516,Darren Randolph,West Ham United,False,PRESSURED,LONG,4,0.25,0.5146187050090087,-0.006362422378622299
PL1516,Darren Randolph,West Ham United,False,PRESSURED,MEDIUM,1,1.0,0.5269461077844312,-0.0065766992811319425
PL1516,Darren Randolph,West Ham United,False,PRESSURED,SHORT,1,0.0,0.37777777777777777,-0.01566275709136702
PL1516,Darren Randolph,West Ham United,False,PRESSURED,VERY_LONG,4,0.25,0.4962552914360144,-0.006878852615124416
PL1516,Darren Randolph,West Ham United,True,FREE,LONG,8,0.75,0.6026358161778839,-0.0038988987318994287
PL1516,Darren Randolph,West Ham United,True,FREE,MEDIUM,3,1.0,0.6807653575025178,-0.0029576469987498927
PL1516,Darren Randolph,West Ham United,True,FREE,SHORT,3,1.0,0.628945630163835,-0.0023038938123664515
PL1516,Darren Randolph,West Ham United,True,FREE,VERY_LONG,32,0.40625,0.5726917801364688,-0.00481015843240088
PL1516,David Ospina Ramírez,Arsenal,False,FREE,LONG,32,0.71875,0.5508603024666003,-0.00738878843116261
PL1516,David Ospina Ramírez,Arsenal,False,FREE,MEDIUM,19,0.9473684210526315,0.747200856448227,-0.004183701184701613
PL1516,David Ospina Ramírez,Arsenal,False,FREE,SHORT,24,0.9583333333333334,0.7217579106503659,-0.004884752051022675
PL1516,David Ospina Ramírez,Arsenal,False,FREE,VERY_LONG,17,0.5294117647058824,0.5212656142341485,-0.007903936199528526
PL1516,David Ospina Ramírez,Arsenal,False,PRESSURED,LONG,3,0.0,0.3844257013998711,-0.01406495805604896
PL1516,David Ospina Ramírez,Arsenal,False,PRESSURED,MEDIUM,2,0.5,0.26234567901234573,-0.011437646800654507
PL1516,David Ospina Ramírez,Arsenal,True,FREE,LONG,23,0.8260869565217391,0.5641811783007138,-0.0049536029655796185
PL1516,David Ospina Ramírez,Arsenal,True,FREE,MEDIUM,1,1.0,0.5269461077844312,-0.006869469345661653
PL1516,David Ospina Ramírez,Arsenal,True,FREE,SHORT,2,1.0,0.6290322580645161,-0.0018510733037906775
PL1516,David Ospina Ramírez,Arsenal,True,FREE,VERY_LONG,3,0.6666666666666666,0.561682084026465,-0.005996163007991086
PL1516,David de Gea Quintana,Manchester United,False,FREE,LONG,230,0.5434782608695652,0.6248276589404741,-0.0060566015723535725
PL1516,David de Gea Quintana,Manchester United,False,FREE,MEDIUM,95,0.8842105263157894,0.7541637632466488,-0.0036727158299413635
PL1516,David de Gea Quintana,Manchester United,False,FREE,SHORT,201,0.9900497512437811,0.7388409084842997,-0.0039513924669709564
PL1516,David de Gea Quintana,Manchester United,False,FREE,VERY_LONG,76,0.4342105263157895,0.5674959518385655,-0.006638696227267497
PL1516,David de Gea Quintana,Manchester United,False,PRESSURED,LONG,34,0.38235294117647056,0.4792964395502773,-0.008914855208837627
