cohort,keeper,team,sample_n,matches,choice_observable_n,choice_coverage,short_share,medium_share,long_share,very_long_share,direct_share,mean_xR,raw_retention,context_influenced_retention_over_expected,pressured_n,pressured_retention,pressured_xR,pressured_retention_over_expected,free_n,free_retention,free_xR,free_retention_over_expected,pressured_choice_n,pressured_choice_coverage,free_choice_n,free_choice_coverage,pressure_shift_direct_choice,target_identifiable_n,target_coverage,left_target_share,central_target_share,right_target_share,goal_kick_n,goal_kick_direct_share,goal_kick_retention,goal_kick_xR,left_foot_share,right_foot_share,known_foot_coverage,left_minus_right_share_pp,fit_flag,choice_coverage_within_cohort_percentile,short_share_within_cohort_percentile,medium_share_within_cohort_percentile,long_share_within_cohort_percentile,very_long_share_within_cohort_percentile,direct_share_within_cohort_percentile,mean_xR_within_cohort_percentile,raw_retention_within_cohort_percentile,context_influenced_retention_over_expected_within_cohort_percentile,pressured_n_within_cohort_percentile,pressured_retention_within_cohort_percentile,pressured_xR_within_cohort_percentile,pressured_retention_over_expected_within_cohort_percentile,free_n_within_cohort_percentile,free_retention_within_cohort_percentile,free_xR_within_cohort_percentile,free_retention_over_expected_within_cohort_percentile,pressured_choice_n_within_cohort_percentile,pressured_choice_coverage_within_cohort_percentile,free_choice_n_within_cohort_percentile,free_choice_coverage_within_cohort_percentile,pressure_shift_direct_choice_within_cohort_percentile,target_coverage_within_cohort_percentile,left_target_share_within_cohort_percentile,central_target_share_within_cohort_percentile,right_target_share_within_cohort_percentile,goal_kick_direct_share_within_cohort_percentile,goal_kick_retention_within_cohort_percentile,goal_kick_xR_within_cohort_percentile,left_foot_share_within_cohort_percentile,right_foot_share_within_cohort_percentile,known_foot_coverage_within_cohort_percentile,left_minus_right_share_pp_within_cohort_percentile
PL1516,Adrián San Miguel del Castillo,West Ham United,989,32,828,0.8372093023255814,25.36231884057971,15.217391304347828,46.13526570048309,13.285024154589372,59.42028985507246,0.6627889721229978,0.6663296258847321,0.0035406537617342455,69,0.4927536231884058,0.4979677961207176,-0.005214172932311824,920,0.6793478260869565,0.6751505603231687,0.004197265763787704,56,0.8115942028985508,772,0.8391304347826087,20.540340488527022,828,0.8372093023255814,25.120772946859905,34.17874396135266,40.70048309178744,288,75.52742616033755,0.6736111111111112,0.5976636975585475,4.853387259858443,72.59858442871587,77.45197168857432,-67.74519716885743,USE_ACCEPTED_R32A_CALIBRATION_RANK_SENSITIVITY,41.66666666666667,53.333333333333336,83.33333333333334,73.33333333333333,36.666666666666664,46.666666666666664,53.333333333333336,63.33333333333333,66.66666666666666,93.33333333333333,60.0,56.666666666666664,63.33333333333333,80.0,66.66666666666666,63.33333333333333,66.66666666666666,93.33333333333333,73.33333333333333,73.33333333333333,36.666666666666664,83.33333333333334,41.66666666666667,13.333333333333334,80.0,56.666666666666664,43.333333333333336,93.33333333333333,50.0,33.33333333333333,56.666666666666664,36.666666666666664,40.0
PL1516,Alex McCarthy,Crystal Palace,220,7,153,0.6954545454545454,14.37908496732026,9.803921568627452,44.44444444444444,31.372549019607842,75.81699346405229,0.6204877950718376,0.5409090909090909,-0.07957870416274662,9,0.2222222222222222,0.48605601170471424,-0.26383378948249203,211,0.5545023696682464,0.6262218521822835,-0.0717194825140371,3,0.3333333333333333,150,0.7109004739336493,-9.333333333333343,153,0.6954545454545454,28.75816993464052,23.52941176470588,47.712418300653596,70,84.44444444444444,0.5428571428571428,0.5833707702506358,5.0,78.18181818181819,83.18181818181817,-73.18181818181819,USE_ACCEPTED_R32A_CALIBRATION_RANK_SENSITIVITY,3.3333333333333335,10.0,26.666666666666668,63.33333333333333,93.33333333333333,90.0,6.666666666666667,6.666666666666667,10.0,6.666666666666667,6.666666666666667,26.666666666666668,6.666666666666667,3.3333333333333335,10.0,6.666666666666667,16.666666666666664,5.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,13.333333333333334,3.3333333333333335,36.666666666666664,6.666666666666667,96.66666666666667,66.66666666666666,23.333333333333332,10.0,36.666666666666664,96.66666666666667,93.33333333333333,13.333333333333334
PL1516,Artur Boruc,AFC Bournemouth,907,32,772,0.8511576626240352,36.65803108808291,19.818652849740932,33.93782383419689,9.585492227979273,43.523316062176164,0.6928061662976648,0.7100330760749725,0.0172269097773076,28,0.5,0.5015944988331649,-0.0015944988331649177,879,0.7167235494880546,0.6988970954091619,0.017826454078892627,24,0.8571428571428571,748,0.850967007963595,36.786987522281635,772,0.8511576626240352,40.02590673575129,29.792746113989637,30.181347150259068,264,57.07547169811321,0.6628787878787878,0.6099609193804323,13.78169790518192,64.05733186328555,77.83902976846747,-50.27563395810363,USE_ACCEPTED_R32A_CALIBRATION_RANK_SENSITIVITY,56.666666666666664,83.33333333333334,93.33333333333333,23.333333333333332,10.0,13.333333333333334,93.33333333333333,83.33333333333334,73.33333333333333,41.66666666666667,66.66666666666666,73.33333333333333,66.66666666666666,70.0,83.33333333333334,90.0,70.0,56.666666666666664,93.33333333333333,66.66666666666666,50.0,96.66666666666667,56.666666666666664,93.33333333333333,53.333333333333336,16.666666666666664,6.666666666666667,83.33333333333334,80.0,73.33333333333333,26.666666666666668,46.666666666666664,76.66666666666667
PL1516,Asmir Begović,Chelsea,408,17,340,0.8333333333333334,33.52941176470588,15.88235294117647,31.470588235294116,19.11764705882353,50.588235294117645,0.669180822012108,0.6053921568627451,-0.06378866514936296,24,0.20833333333333334,0.49943534925341976,-0.2911020159200865,384,0.6302083333333334,0.6797899140595259,-0.04958158072619274,16,0.6666666666666666,324,0.84375,32.175925925925924,340,0.8333333333333334,29.705882352941178,28.235294117647058,42.05882352941177,106,67.07317073170732,0.5188679245283019,0.5984724340228071,5.637254901960785,70.58823529411765,76.22549019607843,-64.95098039215686,USE_ACCEPTED_R32A_CALIBRATION_RANK_SENSITIVITY,36.666666666666664,73.33333333333333,86.66666666666667,10.0,53.333333333333336,20.0,70.0,30.0,20.0,30.0,3.3333333333333335,63.33333333333333,3.3333333333333335,20.0,40.0,73.33333333333333,26.666666666666668,23.333333333333332,21.666666666666668,20.0,43.333333333333336,93.33333333333333,36.666666666666664,53.333333333333336,23.333333333333332,66.66666666666666,20.0,20.0,53.333333333333336,43.333333333333336,46.666666666666664,26.666666666666668,53.333333333333336
PL1516,Ben Foster,West Bromwich Albion,406,15,353,0.8694581280788177,12.747875354107649,6.232294617563739,50.42492917847026,30.59490084985836,81.01983002832861,0.6718166992619764,0.6699507389162561,-0.0018659603457202942,12,0.6666666666666666,0.5037520939840512,0.16291457268261547,394,0.6700507614213198,0.6769354182044512,-0.006884656783131538,10,0.8333333333333334,343,0.8705583756345178,19.533527696793,353,0.8694581280788177,30.31161473087819,28.611898016997166,41.07648725212464,141,98.33333333333333,0.6099290780141844,0.6208861962124348,61.330049261083744,19.458128078817737,80.78817733990148,41.87192118226601,USE_ACCEPTED_R32A_CALIBRATION_RANK_SENSITIVITY,76.66666666666667,6.666666666666667,3.3333333333333335,83.33333333333334,90.0,100.0,73.33333333333333,66.66666666666666,63.33333333333333,13.333333333333334,98.33333333333333,76.66666666666667,100.0,23.333333333333332,63.33333333333333,66.66666666666666,63.33333333333333,16.666666666666664,80.0,23.333333333333332,70.0,76.66666666666667,76.66666666666667,60.0,43.333333333333336,60.0,100.0,50.0,90.0,93.33333333333333,13.333333333333334,83.33333333333334,93.33333333333333
PL1516,Bradley Guzan,Aston Villa,834,28,705,0.8453237410071942,21.418439716312058,12.907801418439716,55.74468085106383,9.929078014184398,65.67375886524822,0.6956508110552687,0.6462829736211031,-0.04936783743416567,49,0.5102040816326531,0.5231250415149082,-0.01292095988225512,785,0.6547770700636942,0.7064199355233932,-0.05164286545969894,41,0.8367346938775511,664,0.845859872611465,7.959888333823102,705,0.8453237410071942,39.858156028368796,29.50354609929078,30.638297872340424,224,87.07865168539325,0.6116071428571429,0.6406670638433228,53.597122302158276,22.781774580335732,76.378896882494,30.815347721822544,USE_ACCEPTED_R32A_CALIBRATION_RANK_SENSITIVITY,50.0,40.0,66.66666666666666,93.33333333333333,13.333333333333334,63.33333333333333,100.0,53.333333333333336,30.0,81.66666666666667,73.33333333333333,90.0,53.333333333333336,56.666666666666664,50.0,100.0,23.333333333333332,86.66666666666667,83.33333333333334,56.666666666666664,46.666666666666664,46.666666666666664,50.0,90.0,50.0,20.0,80.0,53.333333333333336,100.0,80.0,23.333333333333332,30.0,80.0
PL1516,Costel Fane Pantilimon,Sunderland,559,17,447,0.7996422182468694,22.371364653243848,12.751677852348994,53.691275167785236,11.185682326621924,64.87695749440716,0.6593913674012948,0.5813953488372093,-0.07799601856408556,27,0.3333333333333333,0.5145179120431836,-0.18118457870985025,532,0.5939849624060151,0.666743967579244,-0.07275900517322906,18,0.6666666666666666,429,0.806390977443609,-9.712509712509714,447,0.7996422182468694,26.39821029082774,34.899328859060404,38.702460850111855,150,85.03937007874016,0.5666666666666667,0.6084244424873148,1.7889087656529516,76.20751341681574,77.99642218246869,-74.4186046511628,USE_ACCEPTED_R32A_CALIBRATION_RANK_SENSITIVITY,23.333333333333332,46.666666666666664,63.33333333333333,90.0,26.666666666666668,60.0,46.666666666666664,16.666666666666664,13.333333333333334,36.666666666666664,13.333333333333334,86.66666666666667,13.333333333333334,36.666666666666664,16.666666666666664,46.666666666666664,13.333333333333334,33.33333333333333,21.666666666666668,36.666666666666664,23.333333333333332,10.0,23.333333333333332,16.666666666666664,83.33333333333334,46.666666666666664,70.0,30.0,73.33333333333333,3.3333333333333335,90.0,53.333333333333336,10.0
PL1516,David de Gea Quintana,Manchester United,951,34,825,0.8675078864353313,30.545454545454547,14.909090909090908,43.27272727272727,11.272727272727273,54.54545454545454,0.6354132966469211,0.7150368033648791,0.07962350671795787,63,0.5238095238095238,0.4771459260227434,0.046663597786780434,888,0.7286036036036037,0.646641724968231,0.0819618786353725,51,0.8095238095238095,774,0.8716216216216216,6.649946800425589,825,0.8675078864353313,48.96969696969697,24.848484848484848,26.181818181818183,286,71.60493827160494,0.7202797202797203,0.5847035586082984,2.2082018927444795,80.96740273396425,83.17560462670873,-78.75920084121977,USE_ACCEPTED_R32A_CALIBRATION_RANK_SENSITIVITY,73.33333333333333,60.0,80.0,60.0,30.0,36.666666666666664,13.333333333333334,86.66666666666667,96.66666666666667,90.0,76.66666666666667,16.666666666666664,80.0,76.66666666666667,86.66666666666667,16.666666666666664,96.66666666666667,90.0,70.0,76.66666666666667,73.33333333333333,36.666666666666664,73.33333333333333,100.0,10.0,13.333333333333334,26.666666666666668,100.0,16.666666666666664,13.333333333333334,100.0,90.0,3.3333333333333335
PL1516,Declan Rudd,Norwich City,328,11,250,0.7621951219512195,19.6,12.4,45.6,22.400000000000002,68.0,0.6668994687271648,0.5457317073170732,-0.12116776141009154,15,0.6,0.49816848980614653,0.10183151019385343,313,0.5431309904153354,0.6749856178767342,-0.1318546274613988,12,0.8,238,0.7603833865814696,7.35294117647058,250,0.7621951219512195,28.4,32.4,39.2,95,86.8421052631579,0.5157894736842106,0.6138677015539233,4.573170731707317,75.60975609756098,80.1829268292683,-71.03658536585365,USE_ACCEPTED_R32A_CALIBRATION_RANK_SENSITIVITY,13.333333333333334,36.666666666666664,50.0,70.0,70.0,66.66666666666666,63.33333333333333,10.0,3.3333333333333335,20.0,90.0,60.0,90.0,16.666666666666664,6.666666666666667,60.0,3.3333333333333335,20.0,66.66666666666666,16.666666666666664,13.333333333333334,43.333333333333336,13.333333333333334,30.0,70.0,50.0,76.66666666666667,16.666666666666664,83.33333333333334,30.0,83.33333333333334,80.0,30.0
PL1516,Fraser Forster,Southampton,483,18,411,0.8509316770186336,16.54501216545012,9.002433090024331,45.49878345498784,28.953771289537713,74.45255474452554,0.6115319676254206,0.639751552795031,0.028219585169610345,28,0.5357142857142857,0.49583261089674335,0.03988167481754241,455,0.6461538461538462,0.6186519280394931,0.027501918114352996,18,0.6428571428571429,393,0.8637362637362638,-2.3324851569126395,411,0.8509316770186336,33.33333333333333,46.95863746958637,19.708029197080293,143,85.47008547008546,0.6503496503496503,0.5765230526533778,14.285714285714285,69.15113871635612,83.4368530020704,-54.86542443064183,USE_ACCEPTED_R32A_CALIBRATION_RANK_SENSITIVITY,53.333333333333336,30.0,16.666666666666664,66.66666666666666,83.33333333333334,83.33333333333334,3.3333333333333335,43.333333333333336,80.0,41.66666666666667,80.0,40.0,76.66666666666667,33.33333333333333,43.333333333333336,3.3333333333333335,80.0,33.33333333333333,13.333333333333334,33.33333333333333,60.0,16.666666666666664,53.333333333333336,73.33333333333333,100.0,3.3333333333333335,73.33333333333333,76.66666666666667,3.3333333333333335,76.66666666666667,36.666666666666664,96.66666666666667,70.0
