cohort,keeper,team,sample_n,matches,choice_observable_n,choice_coverage,short_share,medium_share,long_share,very_long_share,direct_share,mean_xR,raw_retention,context_influenced_retention_over_expected,pressured_n,pressured_retention,pressured_xR,pressured_retention_over_expected,free_n,free_retention,free_xR,free_retention_over_expected,pressured_choice_n,pressured_choice_coverage,free_choice_n,free_choice_coverage,pressure_shift_direct_choice,target_identifiable_n,target_coverage,left_target_share,central_target_share,right_target_share,goal_kick_n,goal_kick_direct_share,goal_kick_retention,goal_kick_xR,left_foot_share,right_foot_share,known_foot_coverage,left_minus_right_share_pp,fit_flag,choice_coverage_within_cohort_percentile,short_share_within_cohort_percentile,medium_share_within_cohort_percentile,long_share_within_cohort_percentile,very_long_share_within_cohort_percentile,direct_share_within_cohort_percentile,mean_xR_within_cohort_percentile,raw_retention_within_cohort_percentile,context_influenced_retention_over_expected_within_cohort_percentile,pressured_n_within_cohort_percentile,pressured_retention_within_cohort_percentile,pressured_xR_within_cohort_percentile,pressured_retention_over_expected_within_cohort_percentile,free_n_within_cohort_percentile,free_retention_within_cohort_percentile,free_xR_within_cohort_percentile,free_retention_over_expected_within_cohort_percentile,pressured_choice_n_within_cohort_percentile,pressured_choice_coverage_within_cohort_percentile,free_choice_n_within_cohort_percentile,free_choice_coverage_within_cohort_percentile,pressure_shift_direct_choice_within_cohort_percentile,target_coverage_within_cohort_percentile,left_target_share_within_cohort_percentile,central_target_share_within_cohort_percentile,right_target_share_within_cohort_percentile,goal_kick_direct_share_within_cohort_percentile,goal_kick_retention_within_cohort_percentile,goal_kick_xR_within_cohort_percentile,left_foot_share_within_cohort_percentile,right_foot_share_within_cohort_percentile,known_foot_coverage_within_cohort_percentile,left_minus_right_share_pp_within_cohort_percentile
PL1516,Kasper Schmeichel,Leicester City,1215,38,914,0.7522633744855967,9.409190371991247,10.831509846827133,41.46608315098469,38.29321663019694,79.75929978118161,0.6256038730021029,0.5374485596707819,-0.08815531333132103,47,0.574468085106383,0.49373887022570817,0.08072921488067482,1168,0.535958904109589,0.6309100845864271,-0.09495118047683798,37,0.7872340425531915,877,0.7508561643835616,4.194274091651522,914,0.7522633744855967,29.64989059080963,28.555798687089716,41.79431072210066,326,94.46808510638299,0.5061349693251533,0.5809391856087767,2.4691358024691357,76.95473251028807,79.42386831275721,-74.48559670781893,USE_ACCEPTED_R32A_CALIBRATION_RANK_SENSITIVITY,6.666666666666667,3.3333333333333335,30.0,50.0,100.0,96.66666666666667,10.0,3.3333333333333335,6.666666666666667,76.66666666666667,86.66666666666667,33.33333333333333,86.66666666666667,100.0,3.3333333333333335,10.0,6.666666666666667,76.66666666666667,60.0,90.0,6.666666666666667,30.0,6.666666666666667,50.0,36.666666666666664,63.33333333333333,96.66666666666667,13.333333333333334,6.666666666666667,20.0,93.33333333333333,66.66666666666666,6.666666666666667
T2024,Jordan Pickford,England,304,7,283,0.930921052631579,49.46996466431096,15.19434628975265,24.381625441696116,10.954063604240282,35.3356890459364,0.7778496498486743,0.7631578947368421,-0.01469175511183229,51,0.6078431372549019,0.6507006040860449,-0.04285746683114302,253,0.7944664031620553,0.8034804851605089,-0.009014081998453452,50,0.9803921568627451,233,0.9209486166007905,25.098712446351936,283,0.930921052631579,26.501766784452297,29.328621908127207,44.16961130742049,50,62.7906976744186,0.72,0.7015450016056509,72.03947368421053,13.486842105263158,85.52631578947368,58.55263157894738,USE_ACCEPTED_R32A_CALIBRATION_RANK_SENSITIVITY,50.0,42.5,52.5,62.5,55.00000000000001,60.0,72.5,55.00000000000001,47.5,100.0,57.49999999999999,65.0,52.5,100.0,52.5,77.5,42.5,100.0,75.0,100.0,40.0,60.0,50.0,12.5,45.0,92.5,82.5,55.00000000000001,50.0,97.5,5.0,67.5,100.0
WSL2021,Grace Moloney,Reading WFC,913,22,831,0.9101861993428259,61.371841155234655,16.967509025270758,20.81829121540313,0.842358604091456,21.660649819494584,0.7741966116427167,0.8105147864184009,0.036318174775684206,60,0.75,0.6034184545679697,0.14658154543203047,853,0.8147713950762017,0.7862091432071773,0.028562251869024453,54,0.9,777,0.9109026963657679,2.5811525811525797,831,0.9101861993428259,37.063778580024064,32.61131167268351,30.324909747292416,197,22.77777777777778,0.8274111675126904,0.7204332130528274,5.914567360350493,75.46549835706462,81.38006571741512,-69.55093099671413,USE_ACCEPTED_R32A_CALIBRATION_RANK_SENSITIVITY,52.94117647058824,64.70588235294117,47.05882352941176,47.05882352941176,52.94117647058824,47.05882352941176,47.05882352941176,52.94117647058824,82.35294117647058,88.23529411764706,85.29411764705883,35.294117647058826,88.23529411764706,100.0,52.94117647058824,47.05882352941176,70.58823529411765,94.11764705882352,88.23529411764706,100.0,52.94117647058824,52.94117647058824,52.94117647058824,47.05882352941176,88.23529411764706,5.88235294117647,35.294117647058826,64.70588235294117,17.647058823529413,29.411764705882355,76.47058823529412,35.294117647058826,29.411764705882355
