cohort,all_actions,choice_length_observable,target_identifiable,choice_coverage,target_coverage
PL1516,22841,19169,19169,0.8392364607504049,0.8392364607504049
T2024,5367,4921,4921,0.9168995714551891,0.9168995714551891
WC2018,2957,2716,2716,0.9184984781873521,0.9184984781873521
WC2022,4154,3701,3701,0.890948483389504,0.890948483389504
WSL2021,10655,9647,9647,0.9053965274519005,0.9053965274519005
