scope,clear_short_options,n,matches,mean_rho,actual_r1,r1_minus_rho,ci_low,ci_high,bootstrap
ALL,0,468,107,0.7238979181570474,0.48504273504273504,-0.23885518311431247,-0.2951049171864972,-0.18331676983201797,5000 match-cluster draws with multiplicity
ALL,1,636,115,0.7462126248933545,0.7028301886792453,-0.04338243621410928,-0.07946444086916489,-0.009593461960922225,5000 match-cluster draws with multiplicity
ALL,2+,3698,115,0.7833372251453212,0.8247701460248783,0.041432920879557016,0.02322186113608191,0.058634842992223817,5000 match-cluster draws with multiplicity
WC2022,0,251,61,0.7500604945595009,0.4900398406374502,-0.26002065392205065,-0.3400578511974548,-0.18107760923640506,5000 match-cluster draws with multiplicity
WC2022,1,380,64,0.7602838335070455,0.7394736842105263,-0.02081014929651923,-0.06933592847727078,0.024237972160487124,5000 match-cluster draws with multiplicity
WC2022,2+,1853,64,0.7904229881627154,0.8202914193200216,0.029868431157306263,0.004606764714112746,0.05482237613326389,5000 match-cluster draws with multiplicity
EURO2024,0,217,46,0.6936361362353155,0.4792626728110599,-0.2143734634242558,-0.29095632275390787,-0.13712037288332776,5000 match-cluster draws with multiplicity
EURO2024,1,256,51,0.725325674607407,0.6484375,-0.076888174607407,-0.12634440740341502,-0.023401739795601038,5000 match-cluster draws with multiplicity
EURO2024,2+,1845,51,0.776220737952242,0.8292682926829268,0.05304755473068475,0.028435859036202805,0.0774336789400735,5000 match-cluster draws with multiplicity
