scope,clear_short_options,n,short_pct,medium_pct,direct_pct,regression_status,lane_clear_short_options_or,lane_clear_short_options_or_ci_low,lane_clear_short_options_or_ci_high,lane_clear_short_options_p_value,central_short_exit_or,central_short_exit_or_ci_low,central_short_exit_or_ci_high,central_short_exit_p_value,under_pressure_or,under_pressure_or_ci_low,under_pressure_or_ci_high,under_pressure_p_value,goal_kick_or,goal_kick_or_ci_low,goal_kick_or_ci_high,goal_kick_p_value,comp_euro_or,comp_euro_or_ci_low,comp_euro_or_ci_high,comp_euro_p_value
WC2022,0,256,6.640625,7.421875,85.9375,match_clustered_se,0.6440971576085046,0.5722395074956448,0.7249781656197728,3.1286709142626316e-13,0.5837942199481667,0.4395630189658031,0.7753511477074532,0.0002013155527019472,1.5428418120800278,1.1295245412727537,2.1074007426347565,0.006420369111107667,1.7132846884984247,1.366719772263698,2.1477295371101084,3.0214674236659922e-06,,,,
WC2022,1,384,38.54166666666667,18.489583333333336,42.96875,match_clustered_se,0.6440971576085046,0.5722395074956448,0.7249781656197728,3.1286709142626316e-13,0.5837942199481667,0.4395630189658031,0.7753511477074532,0.0002013155527019472,1.5428418120800278,1.1295245412727537,2.1074007426347565,0.006420369111107667,1.7132846884984247,1.366719772263698,2.1477295371101084,3.0214674236659922e-06,,,,
WC2022,2+,1858,57.48116254036598,15.33907427341227,27.179763186221745,match_clustered_se,0.6440971576085046,0.5722395074956448,0.7249781656197728,3.1286709142626316e-13,0.5837942199481667,0.4395630189658031,0.7753511477074532,0.0002013155527019472,1.5428418120800278,1.1295245412727537,2.1074007426347565,0.006420369111107667,1.7132846884984247,1.366719772263698,2.1477295371101084,3.0214674236659922e-06,,,,
EURO2024,0,223,2.242152466367713,5.829596412556054,91.92825112107623,match_clustered_se,0.6005946374030806,0.5205585295789007,0.6929363327676772,2.8093399884477396e-12,0.46009559994306276,0.335948542415938,0.6301201950889129,1.3089045956363144e-06,1.824467215599918,1.3657766618311284,2.437207131901111,4.7031068880658566e-05,2.349073809019292,1.811758827600634,3.0457407885398595,1.1578911307112346e-10,,,,
EURO2024,1,259,28.57142857142857,14.285714285714285,57.14285714285714,match_clustered_se,0.6005946374030806,0.5205585295789007,0.6929363327676772,2.8093399884477396e-12,0.46009559994306276,0.335948542415938,0.6301201950889129,1.3089045956363144e-06,1.824467215599918,1.3657766618311284,2.437207131901111,4.7031068880658566e-05,2.349073809019292,1.811758827600634,3.0457407885398595,1.1578911307112346e-10,,,,
EURO2024,2+,1851,58.45488924905457,15.7752566180443,25.76985413290113,match_clustered_se,0.6005946374030806,0.5205585295789007,0.6929363327676772,2.8093399884477396e-12,0.46009559994306276,0.335948542415938,0.6301201950889129,1.3089045956363144e-06,1.824467215599918,1.3657766618311284,2.437207131901111,4.7031068880658566e-05,2.349073809019292,1.811758827600634,3.0457407885398595,1.1578911307112346e-10,,,,
