competition,covered_n,uncovered_n,goal_kick_share_covered,goal_kick_share_uncovered,pressure_share_covered,pressure_share_uncovered,retention_covered,retention_uncovered,direct_distance_share_covered,direct_distance_share_uncovered,retention_measure,direct_measure,disclosure
WC2022,2498,1683,0.1589271417133707,0.4759358288770053,0.1257005604483587,0.0112893642305407,0.7285828662930345,0.7480689245395128,0.3606885508406725,0.3672014260249554,provider pass completion proxy; not R1,R1.2 provider pass-length proxy; minor coordinate-scaling mismatch with choice table,360 coverage is selected; no missingness correction
EURO2024,2333,1104,0.2018859837119588,0.4347826086956521,0.1980282897556793,0.019927536231884,0.7393913416202315,0.7572463768115942,0.3583369052721817,0.3541666666666667,provider pass completion proxy; not R1,R1.2 provider pass-length proxy; minor coordinate-scaling mismatch with choice table,360 coverage is selected; no missingness correction
