scope,clear_short_options,n,short_pct,medium_pct,direct_pct,regression_status,lane_clear_short_options_or,lane_clear_short_options_or_ci_low,lane_clear_short_options_or_ci_high,lane_clear_short_options_p_value,central_short_exit_or,central_short_exit_or_ci_low,central_short_exit_or_ci_high,central_short_exit_p_value,under_pressure_or,under_pressure_or_ci_low,under_pressure_or_ci_high,under_pressure_p_value,goal_kick_or,goal_kick_or_ci_low,goal_kick_or_ci_high,goal_kick_p_value,comp_euro_or,comp_euro_or_ci_low,comp_euro_or_ci_high,comp_euro_p_value
WC2022,0,96,12.5,14.583333333333334,72.91666666666666,match_clustered_se,0.5881621718861083,0.48424686950186735,0.714376823527302,8.75208168480355e-08,0.6781461535040287,0.49689707417098594,0.925507976233446,0.014370760507544666,1.6468777971534863,1.1362985185303904,2.386878478258424,0.00841859740211562,1.86840585885832,1.4114057685508283,2.473378337542467,1.255452080681517e-05,,,,
WC2022,1,260,55.38461538461539,21.923076923076923,22.692307692307693,match_clustered_se,0.5881621718861083,0.48424686950186735,0.714376823527302,8.75208168480355e-08,0.6781461535040287,0.49689707417098594,0.925507976233446,0.014370760507544666,1.6468777971534863,1.1362985185303904,2.386878478258424,0.00841859740211562,1.86840585885832,1.4114057685508283,2.473378337542467,1.255452080681517e-05,,,,
WC2022,2+,1464,72.06284153005464,15.710382513661203,12.226775956284152,match_clustered_se,0.5881621718861083,0.48424686950186735,0.714376823527302,8.75208168480355e-08,0.6781461535040287,0.49689707417098594,0.925507976233446,0.014370760507544666,1.6468777971534863,1.1362985185303904,2.386878478258424,0.00841859740211562,1.86840585885832,1.4114057685508283,2.473378337542467,1.255452080681517e-05,,,,
EURO2024,0,81,6.172839506172839,13.580246913580247,80.24691358024691,match_clustered_se,0.5090181454612352,0.4312664563558288,0.6007874449549534,1.409758973140213e-15,0.5623889530631238,0.4089187280943572,0.7734576892610678,0.0004003057975002799,1.3086216930595025,0.9253345212109432,1.8506720502601155,0.1282304788394092,2.770298030487527,1.9508936031355486,3.9338645456565384,1.2323963839340629e-08,,,,
EURO2024,1,150,47.333333333333336,20.666666666666668,32.0,match_clustered_se,0.5090181454612352,0.4312664563558288,0.6007874449549534,1.409758973140213e-15,0.5623889530631238,0.4089187280943572,0.7734576892610678,0.0004003057975002799,1.3086216930595025,0.9253345212109432,1.8506720502601155,0.1282304788394092,2.770298030487527,1.9508936031355486,3.9338645456565384,1.2323963839340629e-08,,,,
EURO2024,2+,1494,71.954484605087,17.06827309236948,10.977242302543507,match_clustered_se,0.5090181454612352,0.4312664563558288,0.6007874449549534,1.409758973140213e-15,0.5623889530631238,0.4089187280943572,0.7734576892610678,0.0004003057975002799,1.3086216930595025,0.9253345212109432,1.8506720502601155,0.1282304788394092,2.770298030487527,1.9508936031355486,3.9338645456565384,1.2323963839340629e-08,,,,
ALL,0,177,9.6045197740113,14.124293785310735,76.27118644067797,match_clustered_se,0.5468370477022694,0.48043266568892334,0.6224197022717731,6.360437262691941e-20,0.6288809960659453,0.5006617155843178,0.7899371869313417,6.694391611299547e-05,1.4554484780408525,1.1311109204839194,1.8727873932338628,0.0035258038806696163,2.251216394285945,1.804417137485231,2.8086494794462644,6.524852756615307e-13,1.109723159428831,0.8597997360062394,1.4322934039186193,0.4238927056496983
ALL,1,410,52.4390243902439,21.463414634146343,26.097560975609756,match_clustered_se,0.5468370477022694,0.48043266568892334,0.6224197022717731,6.360437262691941e-20,0.6288809960659453,0.5006617155843178,0.7899371869313417,6.694391611299547e-05,1.4554484780408525,1.1311109204839194,1.8727873932338628,0.0035258038806696163,2.251216394285945,1.804417137485231,2.8086494794462644,6.524852756615307e-13,1.109723159428831,0.8597997360062394,1.4322934039186193,0.4238927056496983
ALL,2+,2958,72.00811359026369,16.39621365787694,11.595672751859365,match_clustered_se,0.5468370477022694,0.48043266568892334,0.6224197022717731,6.360437262691941e-20,0.6288809960659453,0.5006617155843178,0.7899371869313417,6.694391611299547e-05,1.4554484780408525,1.1311109204839194,1.8727873932338628,0.0035258038806696163,2.251216394285945,1.804417137485231,2.8086494794462644,6.524852756615307e-13,1.109723159428831,0.8597997360062394,1.4322934039186193,0.4238927056496983
