contrast,draws,delta_AUC,lower_95,upper_95,delta_Brier,delta_log_loss
p_TA-ROLE_minus_p_TA-GEO,10000,0.0024915115806527412,0.0014172370917848456,0.003571889204373935,-0.00245075846521817,-0.008953562845667977
p_TA-PLAYER_minus_p_TA-GEO,10000,0.009563153532797181,0.007343440003570845,0.011970058320448517,-0.002808924164236547,-0.008289290118651359
