cohort,LOCO_AUC,Brier,calibration_slope,mean_prediction_gap
PL1516,0.6452924843597705,0.2166171151957195,0.6730421227888194,0.0739319152758923
T2024,0.6812943701438016,0.1702214618280369,1.019129521229581,-0.0692391161922822
WC2018,0.7100125308833005,0.204079635099345,1.4552153214515493,0.0619604663237295
WC2022,0.6830866861797287,0.1631948511042825,1.300959949533671,-0.0804001236224219
WSL2021,0.6447452061311876,0.1709292952566374,0.996086535728116,-0.0951312661924114
SUMMARY,0.644745-0.710013,,,0.0619605-0.0951313
