cohort,transported_C_over_V,independent_OOF_C_over_V,independent_lower95,independent_upper95,difference
PL1516,2.2745292837544087,1.3982746586555357,1.391718013302763,1.4048545485937596,-0.876254625098873
T2024,2.280825126659825,1.4670999738340782,1.4510325040921377,1.4837370715601477,-0.8137251528257468
WC2018,2.19061609266115,1.9031414804007856,1.8592487946145362,1.949244445920207,-0.28747461226036464
WC2022,2.2743361502743538,1.4741216836581084,1.4471223956540573,1.5009151449391545,-0.8002144666162454
WSL2021,2.195341564170078,1.7370114601456383,1.7144144121960314,1.759607721204568,-0.45833010402443985
