cohort,selected_actions,TF_AUC,TA_GEO_AUC,delta_AUC,delta_AUC_lo,delta_AUC_hi
PL1516,19169,0.6447235306918364,0.795929445268252,0.15120591457641563,0.1412663605684087,0.1614322532604284
T2024,4921,0.6659433342808748,0.9104400077056264,0.24449667342475156,0.2243189881981689,0.2679284170160174
WC2018,2716,0.7072051048794316,0.8591603053435114,0.15195520046407984,0.1286620242642506,0.1742643983477292
WC2022,3701,0.6814333818767243,0.903444122870082,0.2220107409933577,0.1981756403675671,0.2488902155583183
WSL2021,9647,0.6674161098923016,0.8903979690200772,0.22298185912777557,0.2046200239539296,0.241384076514797
OVERALL,40154,0.6591548280798291,0.8485612275799611,0.18940639950013205,0.1806978696304944,0.1971786516944791
