cohort,band,n,V,C,C_minus_V,C_over_V,lower95,upper95,V_plus_C_over_V,full_burden_lower95,full_burden_upper95,bootstrap_draws,cluster,multiplicity_retained
PL1516,0-16.5m,20102,0.008466585922166427,0.012220514182847225,0.003753928260680798,1.4433815820439042,1.436612347998428,1.4501479593078006,2.443381582043904,2.436612347998428,2.4501479593078006,10000,match_id,True
PL1516,16.5-35m,2508,0.010138897372769731,0.01112262387410416,0.0009837265013344276,1.097024998396418,1.0891590711039385,1.1050919417677056,2.0970249983964178,2.0891590711039383,2.1050919417677054,10000,match_id,True
PL1516,35-52.5m,213,0.011005029141671755,0.011601140970719697,0.0005961118290479434,1.0541672194933767,1.0319133237621443,1.0763200179189865,2.054167219493377,2.0319133237621445,2.0763200179189862,10000,match_id,True
T2024,0-16.5m,4507,0.010017234190255084,0.01490041703723118,0.0048831828469761,1.487478155569781,1.4689201937961356,1.5065046119912056,2.487478155569781,2.4689201937961354,2.5065046119912058,10000,match_id,True
T2024,16.5-35m,816,0.010668852859005918,0.01453185415725164,0.0038630012982457254,1.3620821609686782,1.3391262868224847,1.3853028981882576,2.3620821609686784,2.3391262868224847,2.3853028981882574,10000,match_id,True
T2024,35-52.5m,42,0.012242409684572051,0.01474057872027443,0.0024981690357023766,1.204058604479687,1.1341723212567714,1.3007475553260022,2.204058604479687,2.1341723212567714,2.3007475553260024,10000,match_id,True
WC2018,0-16.5m,2474,0.006906180279391791,0.01409174912000808,0.007185568840616289,2.0404548607076185,1.9954952352648285,2.087824609194015,3.040454860707618,2.9954952352648285,3.087824609194015,10000,match_id,True
WC2018,16.5-35m,464,0.009765068141010969,0.013528010304928511,0.003762942163917544,1.3853472509950113,1.3437878972824253,1.4307950290872964,2.3853472509950118,2.343787897282425,2.4307950290872964,10000,match_id,True
WC2018,35-52.5m,16,0.010848498997205042,0.01384812734320838,0.0029996283460033382,1.2765016936238045,1.1506654079087641,1.4209820129463342,2.2765016936238043,2.150665407908764,2.420982012946334,10000,match_id,True
WC2022,0-16.5m,3552,0.00974180867845471,0.014419978052344101,0.004678169373889391,1.4802156897451473,1.453660478246345,1.5076697788454445,2.4802156897451475,2.453660478246345,2.5076697788454445,10000,match_id,True
WC2022,16.5-35m,579,0.009531322781709591,0.013686132159518787,0.004154809377809198,1.4359110978574965,1.3884961753331146,1.485467302815909,2.4359110978574967,2.3884961753331146,2.485467302815909,10000,match_id,True
WC2022,35-52.5m,22,0.01199006622832991,0.014287982725071053,0.0022979164967411423,1.1916516934086376,1.1164050389539875,1.290312168683968,2.191651693408638,2.1164050389539875,2.2903121686839683,10000,match_id,True
WSL2021,0-16.5m,8531,0.008328673560749345,0.016071561507499266,0.007742887946749921,1.9296663976890556,1.9103257253774324,1.9496271465413468,2.9296663976890556,2.910325725377432,2.9496271465413466,10000,match_id,True
WSL2021,16.5-35m,2033,0.012459203150723772,0.014914896544077133,0.0024556933933533587,1.197098752114874,1.1741629137002803,1.2199162542946105,2.1970987521148735,2.1741629137002803,2.2199162542946107,10000,match_id,True
WSL2021,35-52.5m,85,0.01597261634254411,0.01532384653875777,-0.0006487698037863416,0.9593823710610078,0.9265743450555406,0.9943866815631169,1.9593823710610079,1.9265743450555406,1.994386681563117,10000,match_id,True
