cohort,OOF_actions,mean_V,mean_C,C_minus_V,C_over_V,C/V_lower95,C/V_upper95,V_plus_C_over_V,full_burden_lower95,full_burden_upper95
PL1516,22615,0.0086525339608081,0.0120986189705544,0.0034460850097462,1.3982746586555357,1.391718013302763,1.4048545485937596,2.3982746586555357,2.3917180133027593,2.404854548593752
T2024,5326,0.0101176837519627,0.014843653567766,0.0047259698158032,1.4670999738340782,1.4510325040921377,1.4837370715601477,2.467099973834078,2.451032504092139,2.483737071560148
WC2018,2938,0.0073576860546781,0.0140027175304243,0.0066450314757462,1.9031414804007856,1.8592487946145362,1.949244445920207,2.903141480400787,2.859248794614536,2.9492444459202187
WC2022,4131,0.0097123070240815,0.0143171223825436,0.004604815358462,1.4741216836581084,1.4471223956540573,1.5009151449391545,2.474121683658108,2.44712239565406,2.5009151449391576
WSL2021,10565,0.0091242447689716,0.0158489177288776,0.0067246729599059,1.7370114601456383,1.7144144121960314,1.759607721204568,2.737011460145639,2.7144144121960387,2.7596077212045755
