cohort,eligible_keepers,eligibility_actions,spearman_completion_value,bootstrap_lo,bootstrap_hi
PL1516,30,200,0.699666295884316,0.445323689448519,0.8484247235761462
T2024,40,25,0.4467166979362102,0.13160534116039058,0.7038507696954406
WC2018,32,25,0.7049120234604105,0.4455882352941177,0.8410895663138765
WC2022,34,25,0.3970970206264324,0.007967615145834788,0.7320976256990885
WSL2021,16,200,0.7352941176470589,0.36251046482000515,0.8926974664679581
