cohort,all_actions,target_identifiable_pct,target_identifiable_pct_R1_1,target_identifiable_pct_R1_0,TF_AUC_full,TF_AUC_target_identifiable,TF_Brier_full,TF_Brier_target_identifiable
PL1516,22841,83.9236460750405,95.76997144564712,60.99974299665896,0.6468665252917896,0.6447235306918364,0.2117817040989991,0.1890713105974747
T2024,5367,91.6899571455189,99.15110356536503,66.96141479099678,0.6719447137187433,0.6659433342808748,0.1827274614005125,0.1687472299072712
WC2018,2957,91.84984781873521,99.38208032955717,77.4384236453202,0.703354167406513,0.7072051048794316,0.1987471525569083,0.1849408023614714
WC2022,4154,89.0948483389504,98.03379416282641,56.729699666295886,0.6763963714589858,0.6814333818767243,0.1760599782898895,0.1570090472574603
WSL2021,10655,90.53965274519004,98.08038392321536,63.44827586206897,0.6740005791945057,0.6674161098923016,0.1771832066310349,0.161754974043706
